epoch,model,aug_type,aug,vcp,loss,val_loss,accuracy,val_accuracy,translation,noise,edge_noise,rotation,swap,dist_1,dist_4,cos_1,cos_4
166,cnn,translation,0.0,0.0,0.0024001842830330133,0.38126087188720703,0.9997708201408386,0.9554166793823242,,,,,,,,,
167,cnn,translation,0.0,0.0,0.0007125559495761991,0.3810414671897888,0.9999791383743286,0.9554166793823242,,,,,,,,,
168,cnn,translation,0.0,0.0,0.00033751173759810627,0.3886682391166687,1.0,0.9559166431427002,,,,,,,,,
169,cnn,translation,0.0,0.0,0.0002441637625452131,0.39523181319236755,1.0,0.956250011920929,,,,,,,,,
170,cnn,translation,0.0,0.0,0.0001873815490398556,0.4014197587966919,1.0,0.9559166431427002,,,,,,,,,
171,cnn,translation,0.0,0.0,0.00014736429147887975,0.40736815333366394,1.0,0.956250011920929,,,,,,,,,
172,cnn,translation,0.0,0.0,0.00011793037265306339,0.4125804305076599,1.0,0.956416666507721,,,,,,,,,
173,cnn,translation,0.0,0.0,9.557173325447366e-05,0.4187379479408264,1.0,0.956166684627533,,,,,,,,,
174,cnn,translation,0.0,0.0,7.836679287720472e-05,0.4237082600593567,1.0,0.9565833210945129,,,,,,,,,
175,cnn,translation,0.0,0.0,6.447524356190115e-05,0.429840624332428,1.0,0.9560832977294922,,,,,,,,,
176,cnn,translation,0.0,0.0,5.345877434592694e-05,0.434487909078598,1.0,0.9566666483879089,,,,,,,,,
177,cnn,translation,0.0,0.0,4.450595224625431e-05,0.4399396479129791,1.0,0.9559166431427002,,,,,,,,,
178,cnn,translation,0.0,0.0,3.72292852262035e-05,0.44564372301101685,1.0,0.956333339214325,,,,,,,,,
179,cnn,translation,0.0,0.0,3.12942465825472e-05,0.45086339116096497,1.0,0.956166684627533,,,,,,,,,
180,cnn,translation,0.0,0.0,2.6350433472543955e-05,0.4563639163970947,1.0,0.9558333158493042,,,,,,,,,
181,cnn,translation,0.0,0.0,2.2217429432203062e-05,0.46198147535324097,1.0,0.9557499885559082,,,,,,,,,
